"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jul 11 18:27:48 GMT 2023","Tue Jul 11 18:27:48 GMT 2023","3","tests","test_recipes","TestRecipeCreation","","","test_patch_recipe",""
"broken","Tue Jul 11 18:27:50 GMT 2023","Tue Jul 11 18:27:50 GMT 2023","1","tests","test_shopping_list","TestShoppingCart","","","test_negative_download_shopping_cart_not_logged",""
"broken","Tue Jul 11 18:27:48 GMT 2023","Tue Jul 11 18:27:48 GMT 2023","2","tests","test_recipes","TestRecipeCreation","","","test_patch_recipe_user_not_logged",""
"broken","Tue Jul 11 18:27:47 GMT 2023","Tue Jul 11 18:27:47 GMT 2023","1","tests","test_users","TestUsers","","","test_negative_changing_password_user_not_logged",""
"broken","Tue Jul 11 18:27:49 GMT 2023","Tue Jul 11 18:27:49 GMT 2023","4","tests","test_favourites","TestRecipeFavorites","","","test_add_recipe_favorites",""
"broken","Tue Jul 11 18:27:49 GMT 2023","Tue Jul 11 18:27:49 GMT 2023","2","tests","test_favourites","TestRecipeFavorites","","","test_negative_recipe_delete_favorites_user_not_logged",""
"broken","Tue Jul 11 18:27:48 GMT 2023","Tue Jul 11 18:27:48 GMT 2023","3","tests","test_recipes","TestRecipeCreation","","","test_negative_patch_recipe_validation_error",""
"broken","Tue Jul 11 18:27:51 GMT 2023","Tue Jul 11 18:27:51 GMT 2023","2","tests","test_ingredients","TestIngredients","","","test_get_ingredient",""
"broken","Tue Jul 11 18:27:48 GMT 2023","Tue Jul 11 18:27:48 GMT 2023","3","tests","test_recipes","TestRecipeCreation","","","test_create_recipe",""
"broken","Tue Jul 11 18:27:50 GMT 2023","Tue Jul 11 18:27:50 GMT 2023","3","tests","test_subscription","TestSubscriptions","","","test_get_subscriptions",""
"broken","Tue Jul 11 18:27:50 GMT 2023","Tue Jul 11 18:27:50 GMT 2023","3","tests","test_shopping_list","TestShoppingCart","","","test_download_shopping_cart",""
"broken","Tue Jul 11 18:27:49 GMT 2023","Tue Jul 11 18:27:49 GMT 2023","3","tests","test_favourites","TestRecipeFavorites","","","test_recipe_delete_favorites",""
"broken","Tue Jul 11 18:27:47 GMT 2023","Tue Jul 11 18:27:47 GMT 2023","4","tests","test_users","TestUsers","","","test_delete_token",""
"broken","Tue Jul 11 18:27:48 GMT 2023","Tue Jul 11 18:27:48 GMT 2023","1","tests","test_recipes","TestRecipeCreation","","","test_negative_create_recipe_user_not_logged",""
"broken","Tue Jul 11 18:27:47 GMT 2023","Tue Jul 11 18:27:47 GMT 2023","3","tests","test_users","TestUsers","","","test_changing_password",""
"broken","Tue Jul 11 18:27:49 GMT 2023","Tue Jul 11 18:27:49 GMT 2023","3","tests","test_subscription","TestSubscriptions","","","test_subscribe_to_user",""
"broken","Tue Jul 11 18:27:47 GMT 2023","Tue Jul 11 18:27:47 GMT 2023","2","tests","test_users","TestUsers","","","test_get_current_user",""
"broken","Tue Jul 11 18:27:47 GMT 2023","Tue Jul 11 18:27:47 GMT 2023","4","tests","test_users","TestUsers","","","test_negative_changing_password_validation_error",""
"broken","Tue Jul 11 18:27:48 GMT 2023","Tue Jul 11 18:27:48 GMT 2023","2","tests","test_recipes","TestRecipeCreation","","","test_recipes_list",""
"broken","Tue Jul 11 18:27:46 GMT 2023","Tue Jul 11 18:27:46 GMT 2023","3","tests","test_users","TestUsers","","","test_get_users_list",""
"broken","Tue Jul 11 18:27:49 GMT 2023","Tue Jul 11 18:27:49 GMT 2023","3","tests","test_recipes","TestRecipeCreation","","","test_delete_recipe",""
"broken","Tue Jul 11 18:27:46 GMT 2023","Tue Jul 11 18:27:46 GMT 2023","3","tests","test_users","TestUsers","","","test_nagative_get_user_profile_object_not_found",""
"broken","Tue Jul 11 18:27:46 GMT 2023","Tue Jul 11 18:27:46 GMT 2023","1","tests","test_users","TestUsers","","","test_negative_user_registration",""
"broken","Tue Jul 11 18:27:51 GMT 2023","Tue Jul 11 18:27:51 GMT 2023","2","tests","test_tags","TestTags","","","test_negative_tags_not_found",""
"broken","Tue Jul 11 18:27:49 GMT 2023","Tue Jul 11 18:27:49 GMT 2023","1","tests","test_favourites","TestRecipeFavorites","","","test_negative_add_recipe_favorites_user_not_logged",""
"broken","Tue Jul 11 18:27:50 GMT 2023","Tue Jul 11 18:27:50 GMT 2023","3","tests","test_subscription","TestSubscriptions","","","test_unsubscribe_to_user",""
"broken","Tue Jul 11 18:27:46 GMT 2023","Tue Jul 11 18:27:46 GMT 2023","2","tests","test_users","TestUsers","","","test_user_registration",""
"broken","Tue Jul 11 18:27:50 GMT 2023","Tue Jul 11 18:27:50 GMT 2023","3","tests","test_shopping_list","TestShoppingCart","","","test_delete_shopping_cart",""
"broken","Tue Jul 11 18:27:47 GMT 2023","Tue Jul 11 18:27:47 GMT 2023","2","tests","test_users","TestUsers","","","test_negative_get_current_user",""
"broken","Tue Jul 11 18:27:47 GMT 2023","Tue Jul 11 18:27:47 GMT 2023","2","tests","test_users","TestUsers","","","test_negative_delete_token_user_not_logged",""
"broken","Tue Jul 11 18:27:48 GMT 2023","Tue Jul 11 18:27:48 GMT 2023","3","tests","test_recipes","TestRecipeCreation","","","test_negative_create_recipe_validation_error",""
"broken","Tue Jul 11 18:27:51 GMT 2023","Tue Jul 11 18:27:51 GMT 2023","1","tests","test_ingredients","TestIngredients","","","test_ingredients_list",""
"broken","Tue Jul 11 18:27:50 GMT 2023","Tue Jul 11 18:27:50 GMT 2023","1","tests","test_subscription","TestSubscriptions","","","test_get_subscriptions_user_not_logged",""
"broken","Tue Jul 11 18:27:50 GMT 2023","Tue Jul 11 18:27:50 GMT 2023","2","tests","test_shopping_list","TestShoppingCart","","","test_negative_delete_shopping_cart_not_logged",""
"broken","Tue Jul 11 18:27:46 GMT 2023","Tue Jul 11 18:27:46 GMT 2023","3","tests","test_users","TestUsers","","","test_get_user_profile",""
"broken","Tue Jul 11 18:27:51 GMT 2023","Tue Jul 11 18:27:51 GMT 2023","1","tests","test_tags","TestTags","","","test_tags_list",""
"broken","Tue Jul 11 18:27:50 GMT 2023","Tue Jul 11 18:27:50 GMT 2023","3","tests","test_shopping_list","TestShoppingCart","","","test_add_shopping_cart",""
"broken","Tue Jul 11 18:27:49 GMT 2023","Tue Jul 11 18:27:49 GMT 2023","2","tests","test_subscription","TestSubscriptions","","","test_negative_subscribe_to_user_not_logged",""
"broken","Tue Jul 11 18:27:50 GMT 2023","Tue Jul 11 18:27:50 GMT 2023","2","tests","test_subscription","TestSubscriptions","","","test_unsubscribe_error",""
"broken","Tue Jul 11 18:27:47 GMT 2023","Tue Jul 11 18:27:47 GMT 2023","2","tests","test_users","TestUsers","","","test_negative_get_user_profile_not_logged",""
"broken","Tue Jul 11 18:27:48 GMT 2023","Tue Jul 11 18:27:48 GMT 2023","2","tests","test_recipes","TestRecipeCreation","","","test_get_recipe",""
"broken","Tue Jul 11 18:27:49 GMT 2023","Tue Jul 11 18:27:49 GMT 2023","3","tests","test_favourites","TestRecipeFavorites","","","test_negative_add_recipe_favorites_validation_error",""
